unique_words,avg_sentence,num_of_words,grade
138,108,263,4
267,107,499,4
393,58,845,4
370,55,758,4
252,78,526,4
280,91,605,4
351,103,843,4
163,166,337,4
359,83,848,4
111,52,181,3
284,101,647,4
293,62,551,5
222,92,466,4
412,72,831,4
376,71,847,4
354,72,838,4
260,71,525,4
213,100,434,4
68,100,110,3
60,107,80,3
378,70,758,4
283,72,571,4
321,73,855,3
308,102,841,4
208,79,360,4
266,96,511,4
403,78,776,5
269,62,585,4
259,95,765,4
289,109,700,4
98,50,194,3
359,89,850,5
303,81,586,3
315,199,844,4
278,146,642,3
334,66,744,4
157,80,289,3
409,62,849,4
334,114,705,4
246,62,448,4
297,58,637,5
316,112,708,4
427,65,785,5
199,52,391,3
397,77,850,5
280,112,598,4
169,222,394,3
338,151,756,4
188,102,394,3
305,75,839,3
310,101,605,4
213,77,408,4
229,140,460,4
334,116,767,4
427,63,848,4
287,88,557,4
312,162,849,3
288,100,631,4
236,89,528,4
269,100,522,5
404,118,804,5
300,84,540,5
152,101,281,3
276,127,836,4
248,89,512,4
190,73,371,4
427,78,842,5
369,102,849,4
227,58,398,4
282,111,500,4
216,75,411,4
260,111,635,4
326,69,831,3
344,74,750,4
254,82,653,3
135,84,243,3
360,107,850,4
228,60,486,3
158,56,296,3
252,189,772,3
117,56,212,2
384,84,850,4
372,66,751,4
382,81,845,3
213,80,406,4
423,117,842,6
223,127,418,4
373,78,698,4
360,98,578,5
375,95,840,4
331,82,689,4
268,82,464,4
237,100,443,4
237,90,490,4
221,95,433,4
292,85,614,4
388,61,843,4
166,111,338,4
214,111,417,4
220,81,560,3
96,193,223,3
235,108,469,4
253,78,593,3
368,96,845,3
311,96,739,4
167,99,350,3
330,245,850,3
254,72,474,4
288,68,595,4
218,87,385,4
182,125,359,3
188,90,366,3
383,60,849,5
210,74,427,4
263,86,474,5
252,82,494,4
185,103,304,3
205,82,430,4
393,71,817,5
229,114,553,4
344,93,664,4
412,110,849,4
409,80,847,4
376,97,754,4
295,252,766,3
320,72,710,4
266,82,717,4
4,21,4,1
331,121,788,4
358,92,834,5
335,123,764,4
311,163,818,4
378,147,845,4
257,76,546,3
408,110,817,4
287,68,562,4
252,80,467,4
