num_sentences,avg_length_sentences,num_nouns,num_verbs,num_conjunctions,num_adjectives,num_adverbs,grade
24,135,134,120,33,39,42,4
35,101,110,163,7,35,52,3
53,69,143,142,31,59,52,4
32,73,79,100,16,30,29,4
37,95,136,119,35,52,44,4
15,110,58,68,16,18,21,3
20,118,68,121,32,29,35,3
45,83,158,142,26,41,35,4
29,87,95,106,8,31,42,4
20,128,81,106,31,33,49,4
29,70,78,88,15,19,40,4
44,84,110,186,14,39,77,4
34,78,87,105,18,37,41,4
19,47,26,44,5,15,18,3
24,51,59,64,12,13,11,3
49,88,152,187,28,72,74,5
51,71,91,191,23,46,63,4
29,109,83,138,24,38,79,5
53,63,135,132,27,25,47,4
35,100,124,153,34,48,68,4
29,102,132,122,31,36,42,3
47,80,101,177,40,61,75,3
30,69,65,91,11,33,35,5
50,70,129,172,3,21,41,4
28,64,60,79,4,18,33,4
44,91,133,204,43,58,48,3
23,83,61,84,12,19,32,3
33,68,86,95,18,31,28,4
22,120,87,101,26,40,51,3
41,84,94,151,19,45,80,4
59,70,131,184,17,60,65,4
33,121,125,180,41,52,64,4
41,57,108,99,10,31,38,4
19,101,98,75,24,28,24,2
20,55,43,48,4,12,21,3
18,147,128,92,37,41,29,4
40,110,165,172,29,45,56,5
16,88,43,66,13,19,24,4
27,114,128,105,27,55,47,2
13,96,42,51,10,20,19,3
22,93,63,95,21,19,38,4
50,75,152,145,18,51,42,5
32,132,136,187,32,61,57,4
27,65,61,68,13,25,33,4
12,83,32,46,8,9,21,3
50,83,148,146,2,65,83,4
61,63,149,166,28,58,77,4
34,95,121,112,24,36,49,4
19,140,107,96,21,23,38,3
36,97,114,141,40,41,64,4
35,89,90,147,40,46,45,4
56,60,130,155,19,42,49,3
19,88,53,77,20,16,30,3
21,103,74,98,30,25,41,4
42,57,92,117,22,22,34,4
89,46,128,204,2,45,59,4
67,48,120,149,26,27,33,3
2,1056,63,111,41,21,47,4
59,65,146,153,20,50,56,4
43,87,133,155,30,38,57,4
68,57,121,196,25,44,63,4
45,85,141,159,48,68,58,4
34,73,70,114,19,24,45,4
28,44,60,65,7,24,8,2
35,123,138,167,37,65,79,4
32,69,70,91,21,39,42,4
42,100,142,180,23,38,61,4
33,76,83,112,22,32,24,3
52,75,146,155,34,47,52,4
34,130,153,178,46,61,62,4
36,99,117,146,32,48,63,4
46,88,105,198,35,40,82,4
8,109,33,42,5,9,15,3
27,128,102,156,27,35,64,4
4,567,97,99,18,33,38,2
48,79,133,168,41,49,68,4
38,92,133,121,38,52,42,5
27,58,57,70,0,21,25,4
30,100,98,124,37,47,54,4
47,92,175,150,38,47,48,4
29,94,95,106,25,35,47,4
67,61,138,187,19,49,56,4
57,69,146,180,19,58,53,4
15,163,91,112,29,30,38,3
15,106,64,53,12,40,19,4
23,93,50,121,27,22,36,3
26,123,139,89,27,50,52,4
27,135,107,144,38,50,66,3
26,71,47,102,19,14,35,4
34,95,109,117,17,40,59,4
50,82,157,155,33,67,57,4
39,79,92,144,27,55,56,4
43,98,134,174,13,70,73,4
37,83,115,115,26,46,40,4
15,59,29,43,11,8,13,4
40,77,125,128,29,29,47,4
33,95,114,125,19,39,45,4
14,93,52,52,18,18,15,3
60,73,158,169,44,59,84,4
36,66,74,111,24,33,29,4
31,95,108,134,26,31,34,4
12,136,51,69,13,19,28,3
34,64,87,88,20,29,41,3
37,103,122,142,21,51,73,4
31,108,136,167,32,31,53,4
33,94,106,134,28,33,58,4
38,112,135,184,36,58,80,3
36,86,98,134,38,29,57,4
24,105,109,120,24,45,59,3
9,122,28,60,12,7,19,2
24,66,63,78,15,19,28,3
38,88,113,128,29,58,50,4
19,96,71,71,20,20,22,3
11,57,23,26,13,3,9,2
8,77,18,30,4,9,11,4
30,105,99,116,22,44,57,4
52,69,118,152,38,40,53,4
30,81,79,113,24,21,44,3
17,66,47,57,10,12,15,3
37,92,97,158,37,38,67,4
34,93,96,155,29,39,64,3
51,75,133,161,37,30,50,3
9,116,55,43,10,11,8,3
31,76,59,121,20,21,47,4
29,128,163,185,46,44,56,3
47,93,156,167,38,73,73,4
25,124,86,161,36,26,51,2
8,270,71,111,33,20,19,4
37,77,102,125,21,39,36,5
33,91,99,119,26,50,39,4
55,85,240,129,27,55,55,5
12,193,96,94,3,31,32,4
17,197,110,143,27,64,66,4
46,97,142,171,56,62,91,4
32,126,130,162,36,45,68,4
45,80,131,141,41,42,52,4
31,60,83,68,11,27,36,4
38,102,170,163,47,66,62,4
58,71,140,181,30,60,76,6
24,166,122,175,45,58,90,3
27,102,89,135,18,30,55,3
36,111,115,184,27,33,88,4
18,97,48,80,10,25,42,3
32,111,149,104,31,52,47,5
75,54,128,175,32,46,83,4
78,52,120,185,29,37,59,4
27,126,116,115,39,45,46,4
74,58,182,157,31,43,54,4
28,66,93,93,27,18,21,3
39,71,90,131,22,44,40,4
29,130,149,181,41,40,31,4
35,87,123,127,24,39,37,5
53,82,134,182,31,60,70,4
29,87,102,103,14,32,54,4
33,122,111,192,36,54,84,3
53,68,118,137,22,48,52,4
42,92,143,179,70,44,46,3
20,169,119,136,25,34,49,4
33,121,133,175,50,39,61,4
53,67,119,142,29,56,69,4
26,110,95,118,17,32,43,4
46,82,107,184,25,37,78,4
36,78,107,136,30,26,53,4
21,93,77,61,17,34,27,3
20,80,60,67,13,32,24,4
48,83,137,178,37,55,75,4
21,152,116,113,31,51,44,4
42,73,98,141,1,37,64,4
17,103,62,60,20,26,27,3
21,105,84,88,24,30,29,3
34,77,98,110,25,31,43,4
32,62,72,69,16,41,22,3
25,58,73,56,4,16,21,3
35,100,114,133,28,59,66,4
66,61,118,172,12,61,101,4
50,83,179,147,36,64,46,4
44,95,137,177,27,54,66,4
31,77,86,105,25,33,49,4
46,78,120,163,23,38,65,5
52,85,151,172,25,41,67,5
50,82,138,185,28,47,51,4
36,59,91,91,18,30,31,4
18,111,60,104,27,12,33,4
16,76,56,59,22,5,17,3
42,102,157,166,38,68,68,4
32,105,104,158,31,27,57,4
28,112,100,116,20,44,58,4
44,67,107,137,19,46,38,4
46,83,130,165,36,47,60,5
45,85,114,183,33,42,63,4
35,80,89,145,32,26,37,3
30,126,154,171,32,42,45,4
27,108,105,109,30,40,39,4
25,81,67,90,12,33,31,4
48,75,120,148,25,35,69,4
34,108,139,130,27,44,51,4
33,92,100,158,27,39,49,3
54,81,184,144,39,75,45,5
50,86,192,171,29,60,71,5
31,92,106,117,26,34,46,4
31,122,93,214,53,26,106,2
57,61,137,162,38,44,36,4
40,103,123,188,64,47,74,3
59,72,158,190,28,63,57,5
38,60,92,81,20,29,37,4
30,54,54,69,0,21,24,4
50,67,98,145,34,35,75,4
32,124,157,162,22,58,60,3
41,95,117,184,28,43,90,4
52,78,123,189,31,50,75,3
51,75,112,171,40,41,62,4
32,56,67,74,9,32,37,4
13,31,13,19,2,4,3,2
13,82,40,47,8,14,18,3
27,73,54,94,16,29,39,4
46,94,124,176,38,63,84,4
29,93,103,110,32,34,40,4
36,111,124,179,52,46,80,4
36,118,145,181,24,56,67,5
32,110,160,139,33,45,61,4
20,158,85,125,32,48,57,3
39,87,89,167,31,30,70,3
7,137,31,41,8,10,14,3
46,88,150,176,53,51,93,3
20,109,68,95,6,32,27,4
34,103,131,138,33,43,67,4
38,106,141,186,40,35,66,4
49,73,133,148,23,41,47,4
70,56,118,173,32,47,72,4
82,43,103,178,19,40,52,3
37,84,108,136,26,42,44,4
34,89,137,124,38,31,50,3
55,65,117,194,26,34,66,4
41,60,89,103,21,35,48,4
27,123,98,129,33,46,48,4
36,41,43,71,7,26,42,3
44,97,146,164,35,53,55,4
54,75,120,204,33,37,62,4
41,100,142,174,45,53,60,4
23,96,85,74,19,25,26,4
42,88,119,167,38,46,81,4
71,55,141,196,37,37,60,4
23,111,82,112,30,35,51,4
11,113,47,52,17,15,20,3
23,115,94,91,14,43,50,3
23,46,43,48,9,24,18,4
42,82,115,139,34,34,51,4
46,63,88,136,32,37,38,3
34,60,57,87,25,42,39,3
50,66,118,157,40,55,65,4
54,65,126,152,30,47,41,4
51,83,156,168,40,53,49,4
9,356,113,141,39,38,60,3
36,84,102,121,26,41,57,4
44,72,135,136,2,40,38,4
8,420,124,142,47,39,45,2
44,56,93,124,21,30,41,3
42,67,78,142,28,28,43,3
36,117,179,171,42,60,38,4
29,96,89,125,18,31,48,4
52,66,156,148,33,39,62,4
31,116,122,160,19,47,52,4
62,68,152,182,40,49,61,3
31,98,93,123,31,68,43,5
52,71,133,149,30,76,68,4
21,87,60,77,11,26,28,4
13,77,30,43,13,13,16,4
20,194,136,206,48,46,55,2
33,99,106,148,33,41,59,4
50,79,145,165,40,52,46,4
52,75,166,170,32,49,54,4
36,74,93,110,23,24,49,4
29,121,148,134,34,56,52,3
27,94,86,116,44,30,49,4
17,110,64,74,11,28,31,4
40,89,135,151,38,56,62,4
12,129,45,75,19,19,16,2
45,95,136,173,29,48,68,4
73,54,141,180,36,37,65,4
24,140,133,145,34,47,66,3
24,86,56,98,19,20,43,3
13,94,39,48,11,23,21,3
36,68,88,106,16,23,47,4
46,63,100,123,20,27,51,4
39,116,152,173,29,61,88,5
42,72,82,139,26,53,62,4
43,72,105,128,31,40,53,4
49,64,88,143,33,38,70,4
52,66,107,160,19,38,74,4
8,274,87,100,24,24,20,2
33,80,91,124,25,28,36,4
41,107,141,169,38,54,92,4
27,101,134,98,34,32,47,4
4,243,30,52,17,13,22,2
33,82,85,143,21,34,64,3
18,81,54,63,19,18,27,3
43,103,158,181,42,66,78,4
34,83,109,117,29,47,53,3
41,91,125,187,34,41,60,3
34,56,61,111,15,28,32,3
26,76,83,75,15,26,24,5
42,103,165,142,33,57,57,6
45,88,131,184,43,56,65,4
25,71,69,78,12,32,26,4
20,135,92,123,28,43,43,4
20,99,86,90,18,35,42,4
23,151,112,136,24,49,70,3
17,97,46,73,19,21,32,4
34,118,131,169,32,54,36,4
46,89,142,178,50,42,84,4
43,65,85,145,24,27,37,4
74,38,108,124,7,41,22,4
26,55,47,62,6,19,41,4
12,121,53,60,18,13,22,4
34,85,91,145,27,38,42,4
36,50,60,86,13,30,20,4
20,118,85,75,11,49,28,4
17,93,54,66,20,16,29,3
37,112,117,179,52,61,58,4
19,136,82,114,22,44,54,4
34,71,84,108,18,44,39,4
61,67,173,154,42,40,55,4
41,89,132,149,30,57,50,3
18,193,114,131,36,50,68,3
23,61,41,74,11,12,24,4
34,125,159,154,24,55,100,4
27,82,62,102,13,29,44,4
40,75,105,121,22,42,44,4
58,59,103,164,20,48,75,3
51,75,88,169,29,71,64,3
60,65,98,194,38,53,89,4
46,75,113,141,24,41,70,5
47,84,151,166,19,43,54,5
34,83,97,104,26,38,61,3
46,91,143,202,43,49,75,3
24,121,102,97,24,54,25,5
18,62,29,40,10,20,35,4
12,117,45,51,5,27,7,3
36,85,114,125,25,30,54,4
46,69,113,140,19,40,50,4
23,169,130,202,39,44,58,3
19,69,40,66,15,8,22,3
46,92,132,176,21,56,62,4
58,78,188,148,23,69,59,5
5,75,16,16,3,6,2,2
57,68,118,175,26,30,61,4
49,88,154,167,42,67,96,4
62,45,75,137,17,27,59,4
22,127,115,112,19,40,56,3
25,81,64,90,24,31,33,4
40,67,98,113,15,34,49,4
17,103,75,65,17,29,20,4
35,112,120,197,45,44,63,3
28,122,162,84,16,55,35,4
15,75,33,46,16,14,27,2
59,64,163,134,21,54,38,5
43,96,135,174,31,45,70,4
23,142,115,140,33,32,59,4
34,105,127,142,28,43,52,4
50,83,159,160,36,50,74,4
52,76,138,172,39,31,47,5
17,135,80,107,27,23,32,3
41,48,84,91,18,26,25,3
29,119,128,131,25,37,45,3
8,63,17,16,6,6,6,2
43,57,62,104,15,26,67,4
36,70,92,102,18,34,39,4
10,77,38,29,5,9,12,3
36,105,105,197,27,43,71,4
23,121,85,131,8,28,43,4
25,132,130,142,30,41,46,3
37,96,127,143,24,49,53,4
39,75,112,112,28,45,40,4
33,106,98,188,32,26,66,5
40,61,95,103,21,30,28,4
22,193,170,164,57,51,74,3
28,80,86,122,14,30,32,3
62,65,128,196,31,37,66,4
47,88,135,198,46,44,73,4
35,72,96,112,16,40,47,4
24,116,97,111,26,45,60,3
40,78,117,142,27,43,47,4
11,160,65,80,15,17,30,4
9,189,64,108,13,24,24,3
70,59,159,154,27,82,63,3
55,55,107,134,23,48,53,4
44,88,125,149,31,58,53,5
32,72,81,119,18,17,31,4
50,50,75,135,17,22,43,4
46,67,126,128,22,38,43,4
49,70,86,176,27,38,84,4
52,57,112,133,17,28,35,4
26,109,101,121,25,29,49,4
16,111,56,92,18,25,24,3
14,69,40,43,10,14,14,4
48,80,171,142,31,49,50,4
38,91,105,159,40,43,46,4
30,89,107,119,17,32,26,3
27,101,96,115,25,25,46,3
59,68,131,186,40,46,68,4
28,125,122,164,43,32,65,3
46,82,123,155,34,57,59,5
35,85,110,113,27,45,50,4
50,78,154,170,49,22,46,4
35,119,149,157,40,52,59,5
55,70,118,199,28,35,65,4
41,98,131,167,38,59,74,4
46,89,155,178,34,36,40,4
2,84,7,5,1,5,3,2
48,83,115,218,41,55,77,4
39,92,151,176,48,34,57,4
35,72,85,114,27,39,39,4
20,68,41,54,3,10,29,3
29,113,105,146,33,42,71,3
31,101,88,141,34,54,74,4
41,101,156,152,35,45,77,5
22,62,52,43,9,19,25,3
73,56,166,181,27,33,55,4
25,114,89,118,32,49,40,3
20,94,49,93,17,19,38,4
17,98,59,62,14,18,25,4
6,115,27,28,3,13,7,2
48,84,135,162,50,43,75,4
29,102,109,113,25,45,55,4
18,222,114,178,50,45,75,3
16,180,110,146,23,44,43,3
40,106,167,162,33,52,73,5
21,99,78,75,10,29,31,5
47,87,138,198,34,48,87,4
20,95,49,69,21,35,45,4
67,51,82,184,32,52,75,4
36,114,91,214,48,43,78,4
47,90,127,181,32,58,69,4
35,103,121,144,38,46,66,5
38,111,135,187,30,57,73,4
22,67,51,86,10,18,24,4
39,104,132,182,26,55,68,4
36,77,87,131,27,41,52,3
23,83,69,84,17,16,41,3
43,106,179,155,22,60,53,6
30,84,83,122,21,29,24,4
35,96,136,108,27,54,37,6
48,75,112,148,24,53,48,4
16,122,79,76,27,19,45,3
23,97,85,88,19,35,37,3
43,77,92,138,28,45,87,3
31,105,81,152,36,35,82,5
37,84,140,111,16,47,20,3
42,105,132,187,36,46,70,4
35,73,78,115,24,26,60,4
32,79,85,121,15,28,46,3
6,218,31,77,23,15,26,3
15,73,46,44,9,18,21,4
26,130,94,163,45,33,57,3
11,120,48,65,12,6,17,3
14,123,66,81,23,11,33,4
22,137,97,152,36,39,61,3
30,81,87,86,19,44,37,4
12,108,48,47,16,26,16,4
23,107,71,86,21,33,53,4
69,58,161,172,37,51,40,4
65,55,140,163,34,33,54,5
33,78,87,129,19,33,46,4
35,91,104,140,25,52,49,4
39,103,128,181,39,42,65,4
9,166,57,76,18,18,25,3
47,83,161,195,37,34,61,4
19,52,49,33,6,19,18,3
31,101,104,129,30,51,68,4
43,62,95,118,28,50,31,5
25,92,68,97,24,29,49,4
59,72,165,172,56,64,84,4
59,71,132,178,33,62,63,4
52,72,154,201,18,38,63,4
35,71,98,106,20,27,41,3
22,100,71,89,12,31,35,4
5,100,19,26,7,6,7,3
3,107,7,13,5,3,3,3
54,70,151,147,38,44,52,4
38,72,87,117,32,30,64,4
55,73,131,176,47,62,87,3
37,102,119,189,41,28,68,4
22,79,80,73,27,24,21,3
27,96,97,105,12,41,53,4
53,78,179,138,19,48,40,5
45,62,115,103,19,41,35,4
38,95,147,163,34,63,50,3
32,109,113,152,25,51,72,4
17,50,50,36,7,4,11,2
47,89,146,175,27,55,60,5
37,81,113,121,21,54,41,3
21,199,123,200,44,52,61,4
21,146,118,141,34,59,48,4
55,66,123,159,20,37,72,4
17,80,57,54,17,17,16,3
65,62,141,183,9,49,51,4
30,114,121,149,23,48,59,3
37,62,59,100,23,39,70,4
53,58,71,153,24,33,68,5
32,112,116,162,35,41,73,4
62,65,155,152,25,61,60,5
35,52,50,103,11,26,41,3
55,77,155,188,27,55,66,5
26,112,109,126,28,27,37,4
8,222,67,81,22,28,31,3
25,151,123,151,34,65,53,4
19,102,67,88,20,28,35,3
50,75,133,185,35,42,41,3
30,101,111,119,20,45,48,3
26,77,63,85,16,27,30,4
17,140,82,94,20,33,60,4
32,116,110,162,29,49,79,4
65,63,140,201,29,37,43,4
32,88,80,123,25,36,65,4
24,162,139,191,54,46,71,3
31,100,117,121,31,30,37,4
28,89,102,100,14,33,31,4
28,100,97,113,24,44,47,5
35,118,158,139,38,52,56,5
33,84,111,111,21,33,35,5
14,101,64,58,9,15,18,3
34,127,102,203,48,60,112,4
29,89,91,97,22,41,51,3
25,73,61,85,22,21,31,3
54,78,136,193,8,43,71,4
42,102,125,177,34,65,81,4
33,58,65,88,13,32,25,4
24,111,88,95,24,39,49,4
26,75,79,71,22,31,28,3
30,111,118,130,25,46,65,4
55,69,151,160,50,46,69,3
50,74,139,160,28,56,43,4
40,82,118,145,30,48,59,3
14,84,45,49,13,18,22,3
38,107,123,181,42,46,70,4
36,60,74,114,16,26,54,3
23,56,57,62,8,17,20,3
19,189,123,186,31,40,58,3
18,56,47,44,6,12,15,2
54,84,196,169,35,48,54,5
57,66,129,158,35,56,54,4
51,81,133,181,32,57,63,3
25,80,83,74,15,21,32,3
37,117,158,168,37,61,54,6
16,127,62,89,13,30,37,4
46,78,121,130,26,64,64,4
32,98,144,96,22,45,28,4
45,95,125,192,28,53,88,4
41,82,106,153,20,63,67,4
29,82,91,93,23,26,33,4
21,100,84,79,21,33,29,4
26,90,98,89,27,29,39,4
24,95,80,94,22,36,35,4
33,85,102,135,1,29,26,3
70,61,129,191,35,52,86,4
14,111,51,72,25,28,24,3
20,111,78,85,28,23,31,4
35,81,77,119,24,46,69,3
5,193,49,51,14,17,21,2
21,108,78,98,19,18,38,4
36,78,101,127,31,31,47,4
43,96,141,162,24,51,72,3
36,96,126,158,31,31,53,4
18,99,53,72,24,29,45,3
16,245,141,170,12,56,67,2
34,72,85,93,14,39,50,4
42,68,100,155,37,28,38,3
22,87,68,87,20,19,37,3
14,125,77,78,15,15,25,3
19,90,66,75,7,34,17,3
67,60,152,176,28,55,57,5
28,74,70,104,19,27,36,4
27,86,93,105,18,27,34,4
32,82,81,109,15,35,46,3
16,103,54,64,11,28,31,4
24,82,57,94,32,17,49,4
59,71,167,166,28,42,50,5
26,114,110,109,25,45,38,4
38,93,130,128,29,50,41,4
39,110,199,168,35,47,52,4
53,80,149,149,27,57,62,4
39,97,122,167,33,57,68,4
14,252,99,167,54,56,73,3
49,72,118,144,32,49,54,4
41,82,101,169,27,37,77,4
1,21,1,1,0,0,0,1
32,121,112,175,55,68,71,4
44,92,127,197,35,39,81,5
30,123,140,177,43,37,51,4
23,163,150,173,35,42,55,5
28,147,124,168,54,46,75,4
34,76,103,98,26,40,52,3
38,110,142,163,36,41,60,4
41,68,91,106,22,40,59,4
30,80,81,101,12,40,42,4
